ID,Employment Type
1,W2
2,Contractor
3,W2
4,Contractor
5,W2
6,Contractor
7,Contractor
8,W2
9,Contractor
10,W2
11,Contractor
12,W2
13,Contractor
14,Contractor
15,W2
16,W2
17,W2
18,W2
19,Contractor
20,W2
21,Contractor
22,W2
23,W2
24,Contractor
25,W2
26,W2
27,Contractor
28,W2
29,Contractor
30,Contractor
31,W2
32,W2
33,Contractor
34,Contractor
35,W2
36,Contractor
37,W2
38,Contractor
39,Contractor
40,Contractor
41,W2
42,W2
43,W2
44,W2
45,Contractor
46,Contractor
47,W2
48,W2
49,W2
50,Contractor
51,Contractor
52,Contractor
53,Contractor
54,W2
55,W2
56,Contractor
57,W2
58,W2
59,W2
60,W2
61,W2
62,W2
63,W2
64,W2
65,Contractor
66,Contractor
67,Contractor
68,W2
69,W2
70,Contractor
71,W2
72,Contractor
73,W2
74,W2
75,Contractor
76,W2
77,Contractor
78,W2
79,Contractor
80,W2
81,W2
82,Contractor
83,W2
84,Contractor
85,W2
86,W2
87,Contractor
88,W2
89,Contractor
90,Contractor
91,Contractor
92,Contractor
93,W2
94,Contractor
95,W2
96,W2
97,Contractor
98,W2
99,Contractor
100,Contractor
101,Contractor
102,W2
103,Contractor
104,W2
105,W2
106,W2
107,Contractor
108,Contractor
109,Contractor
110,W2
111,Contractor
112,Contractor
113,W2
114,Contractor
115,W2
116,W2
117,Contractor
118,W2
119,Contractor
120,W2
121,W2
122,Contractor
123,Contractor
124,W2
125,Contractor
126,W2
127,Contractor
128,W2
129,Contractor
130,Contractor
131,W2
132,Contractor
133,W2
134,Contractor
135,W2
136,Contractor
137,Contractor
138,Contractor
139,W2
140,Contractor
141,Contractor
142,Contractor
143,W2
144,Contractor
145,W2
146,W2
147,W2
148,Contractor
149,Contractor
150,Contractor
151,W2
152,Contractor
153,W2
154,Contractor
155,W2
156,Contractor
157,Contractor
158,W2
159,W2
160,W2
161,Contractor
162,Contractor
163,W2
164,Contractor
165,Contractor
166,Contractor
167,Contractor
168,Contractor
169,Contractor
170,W2
171,Contractor
172,Contractor
173,Contractor
174,W2
175,W2
176,Contractor
177,W2
178,Contractor
179,Contractor
180,W2
181,W2
182,W2
183,Contractor
184,Contractor
185,W2
186,Contractor
187,W2
188,Contractor
189,Contractor
190,Contractor
191,W2
192,W2
193,W2
194,Contractor
195,Contractor
196,W2
197,W2
198,W2
199,Contractor
200,Contractor
201,W2
202,W2
203,W2
204,Contractor
205,W2
206,W2
207,W2
208,Contractor
209,W2
210,W2
211,Contractor
212,W2
213,W2
214,Contractor
215,Contractor
216,Contractor
217,W2
218,Contractor
219,Contractor
220,W2
221,Contractor
222,Contractor
223,Contractor
224,W2
225,W2
226,W2
227,Contractor
228,W2
229,Contractor
230,Contractor
231,W2
232,Contractor
233,W2
234,W2
235,Contractor
236,W2
237,W2
238,W2
239,Contractor
240,Contractor
241,W2
242,Contractor
243,Contractor
244,Contractor
245,Contractor
246,Contractor
247,Contractor
248,Contractor
249,W2
250,W2
251,Contractor
252,W2
253,Contractor
254,W2
255,W2
256,Contractor
257,W2
258,W2
259,W2
260,Contractor
261,W2
262,Contractor
263,Contractor
264,Contractor
265,Contractor
266,W2
267,W2
268,W2
269,Contractor
270,Contractor
271,W2
272,Contractor
273,W2
274,Contractor
275,Contractor
276,W2
277,Contractor
278,W2
279,W2
280,W2
281,Contractor
282,Contractor
283,Contractor
284,W2
285,W2
286,Contractor
287,W2
288,Contractor
289,W2
290,Contractor
291,Contractor
292,Contractor
293,Contractor
294,Contractor
295,Contractor
296,W2
297,Contractor
298,W2
299,W2
300,Contractor
301,W2
302,W2
303,Contractor
304,W2
305,Contractor
306,Contractor
307,W2
308,W2
309,Contractor
310,Contractor
311,W2
312,Contractor
313,W2
314,Contractor
315,W2
316,Contractor
317,Contractor
318,W2
319,Contractor
320,Contractor
321,Contractor
322,W2
323,W2
324,Contractor
325,W2
326,Contractor
327,W2
328,Contractor
329,W2
330,Contractor
331,W2
332,W2
333,W2
334,Contractor
335,W2
336,W2
337,W2
338,W2
339,Contractor
340,W2
341,Contractor
342,W2
343,Contractor
344,W2
345,W2
346,W2
347,Contractor
348,Contractor
349,Contractor
350,Contractor
351,W2
352,W2
353,Contractor
354,W2
355,Contractor
356,Contractor
357,W2
358,Contractor
359,Contractor
360,W2
361,W2
362,Contractor
363,W2
364,W2
365,Contractor
366,W2
367,W2
368,W2
369,W2
370,W2
371,Contractor
372,W2
373,W2
374,W2
375,W2
376,Contractor
377,Contractor
378,W2
379,Contractor
380,W2
381,Contractor
382,Contractor
383,W2
384,W2
385,Contractor
386,W2
387,W2
388,Contractor
389,Contractor
390,Contractor
391,W2
392,W2
393,Contractor
394,W2
395,Contractor
396,Contractor
397,Contractor
398,W2
399,Contractor
400,Contractor
401,Contractor
402,Contractor
403,Contractor
404,Contractor
405,Contractor
406,Contractor
407,Contractor
408,Contractor
409,W2
410,W2
411,W2
412,W2
413,Contractor
414,Contractor
415,Contractor
416,W2
417,Contractor
418,W2
419,Contractor
420,Contractor
421,Contractor
422,Contractor
423,W2
424,Contractor
425,Contractor
426,W2
427,Contractor
428,Contractor
429,Contractor
430,W2
431,Contractor
432,Contractor
433,Contractor
434,W2
435,W2
436,W2
437,Contractor
438,Contractor
439,Contractor
440,W2
441,W2
442,Contractor
443,W2
444,W2
445,Contractor
446,Contractor
447,Contractor
448,Contractor
449,W2
450,Contractor
451,W2
452,W2
453,W2
454,Contractor
455,Contractor
456,W2
457,W2
458,W2
459,W2
460,Contractor
461,Contractor
462,W2
463,W2
464,Contractor
465,Contractor
466,Contractor
467,Contractor
468,Contractor
469,W2
470,W2
471,Contractor
472,W2
473,W2
474,Contractor
475,W2
476,W2
477,Contractor
478,W2
479,W2
480,W2
481,W2
482,Contractor
483,W2
484,W2
485,W2
486,Contractor
487,Contractor
488,Contractor
489,Contractor
490,Contractor
491,W2
492,Contractor
493,W2
494,Contractor
495,W2
496,Contractor
497,Contractor
498,Contractor
499,Contractor
500,W2
501,W2
502,Contractor
503,Contractor
504,Contractor
505,Contractor
506,Contractor
507,W2
508,Contractor
509,Contractor
510,W2
511,W2
512,Contractor
